miRNA	SRR34661416	SRR34661417	SRR34661418	SRR34661419	SRR34661420	SRR34661421	SRR34661422	SRR34661423	SRR34661424	SRR34661425	SRR34661426	SRR34661427	SRR34661428	SRR34661429	SRR34661430	SRR34661431	SRR34661432	SRR34661433	SRR34661434	SRR34661435	SRR34661436	SRR34661437	SRR34661438	SRR34661439	SRR34661440	SRR34661441	SRR34661442	SRR34661443
mmu-miR-3077-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0
mmu-miR-3078-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3078-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3079-5p	3	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	3	1	1	0	0	0	2	0	1	0
mmu-miR-3079-3p	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	2	2	0	0	0	0
mmu-miR-3080-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0
mmu-miR-3080-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-3081-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3081-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
mmu-miR-3082-5p	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3082-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3083-5p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
mmu-miR-3083-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0
mmu-miR-3084-5p	2	0	0	0	2	5	0	0	3	20	19	13	5	10	10	8	0	0	0	1	2	0	3	4	3	0	0	1
mmu-miR-3084-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1
mmu-miR-3085-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3085-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-3086-5p	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	1	2	2	0	0	0
mmu-miR-3086-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mmu-miR-466m-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-466m-3p	7	4	0	5	13	4	6	0	3	6	1	3	5	7	3	5	9	8	4	6	15	19	5	19	7	4	6	0
mmu-miR-669d-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	1	4	1	0	0	2	0
mmu-miR-466o-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-466o-3p	0	0	0	0	0	0	1	0	1	0	0	0	2	1	2	0	1	2	2	2	4	2	1	5	0	1	3	0
mmu-miR-669p-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-669p-3p	1	9	0	1	5	2	2	4	3	2	3	3	3	6	2	1	13	17	18	10	9	19	16	18	6	4	12	2
mmu-miR-466p-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-466p-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
